CONTROLN,STATE,GENDER,HV1,IC1,IC4,HVP1,IC5,POBC1,POBC2,IC2,IC3,AVGGIFT,TCODE,DOB,DOMAIN,TARGET_D
185602,WI,F,400,232,315.0,0,10504,1,86,279.0,264,9.533333333,28,0,R2,10.0
23603,SC,M,824,348,400.0,0,14663,2,40,371.0,365,12.5,1,5801,S2,25.0
112943,OK,F,855,345,560.0,10,17869,2,64,384.0,508,8.729166667000001,2,3601,T1,12.0
44853,FL,M,578,246,323.0,0,14121,3,13,323.0,275,10.64285714,1,2912,C3,12.0
83094,MN,F,699,246,319.0,0,11020,1,81,254.0,304,13.6,0,1211,T2,20.0
148166,California,F,5372,673,892.0,97,44570,16,42,845.0,801,18.75,0,0,S1,20.0
101113,MO,F,839,456,485.0,2,14713,1,65,465.0,475,9.625,0,5801,C2,10.0
101889,MO,F,662,424,456.0,0,13377,0,79,436.0,444,13.5,0,5111,S2,16.0
58808,KY,F,575,228,327.0,1,12600,0,72,299.0,261,10.5,0,1401,T2,10.0
85498,MN,F,281,176,235.0,0,7683,0,86,207.0,208,5.909090909,0,0,R3,10.0
153864,California,F,3370,763,871.0,88,32072,16,33,824.0,824,9.888888889,0,5201,S1,20.0
145496,California,M,2803,555,620.0,88,17655,15,52,616.0,546,12.2,1,5111,U1,22.0
27566,GA,M,601,249,306.0,1,11235,4,67,274.0,286,15.0,0,0,C3,30.0
38031,FL,M,828,401,451.0,0,13716,31,31,396.0,451,12.5,1,5801,S2,10.0
130756,CO,,2408,906,961.0,65,42897,5,25,952.0,924,15.0,0,4701,T1,20.0
87281,MT,,445,192,275.0,0,9747,1,57,242.0,244,7.3,0,0,R2,8.0
16863,NC,female,951,307,487.0,11,17187,6,39,427.0,370,15.0,2,3301,C1,50.0
20065,NC,,722,327,371.0,0,13168,6,25,325.0,374,20.85714286,28,5301,T2,40.0
142554,California,M,1811,350,466.0,33,18591,12,52,405.0,440,13.75,0,1601,U2,15.0
10789,MN,F,534,284,351.0,0,11303,2,83,321.0,308,5.290322581,2,2309,R2,3.0
64224,IN,F,866,443,472.0,3,10484,1,57,453.0,454,12.83333333,0,3811,T1,20.0
6695,IL,M,471,299,347.0,0,14658,0,87,334.0,303,5.647058824,0,6609,C2,6.0
139799,NM,F,987,405,599.0,4,20940,8,42,544.0,490,25.0,0,5301,T1,25.0
1254,TX,M,1102,613,676.0,0,20557,4,46,639.0,648,25.0,1,4801,S1,30.0
1549,California,M,5863,1500,1150.0,98,174523,20,40,1500.0,1146,50.0,0,1604,S1,50.0
2159,SD,F,198,193,256.0,0,8898,1,48,211.0,237,9.266666667,2,1901,R2,9.0
80903,WI,male,658,305,376.0,3,13284,0,74,318.0,353,6.318181817999999,1002,6206,T1,15.0
186731,FL,F,512,175,236.0,0,12221,14,11,198.0,208,11.125,28,3407,0,15.0
67342,MI,M,886,367,497.0,9,17984,6,74,458.0,433,11.28571429,1,1312,S2,30.0
30366,OK,M,1429,724,813.0,12,34070,4,48,759.0,755,5.1875,2,3601,C1,6.0
64441,IN,M,386,258,358.0,1,12513,0,75,301.0,313,5.428571429,1,5401,R3,10.0
175155,OR,F,740,211,312.0,3,12165,3,46,259.0,257,10.0,28,4801,R2,21.0
82015,WI,F,543,306,337.0,0,11140,0,94,314.0,321,10.91666667,2,2812,R2,18.0
170912,California,M,1896,502,555.0,45,17405,6,56,511.0,548,15.0,0,4401,S1,20.0
183055,WA,F,876,337,439.0,3,15017,4,37,353.0,403,7.875,2,3704,S2,10.0
134032,UT,F,575,305,368.0,0,9906,1,80,349.0,326,15.0,2,0,R2,10.0
186573,WI,F,900,488,563.0,2,18369,1,84,524.0,537,7.692307692000001,0,0,T2,3.0
37299,FL,F,1171,272,383.0,4,14539,17,15,323.0,329,9.888888889,2,5502,C2,15.0
165746,California,M,1429,492,508.0,1,14106,15,48,497.0,507,4.75,0,703,C2,10.0
189520,California,M,4143,617,755.0,97,25985,9,59,690.0,704,13.72727273,1,1902,S1,20.0
26579,GA,F,858,388,494.0,7,19457,0,75,418.0,429,7.785714286,0,4301,T2,10.0
109583,LA,F,582,301,354.0,1,11139,0,80,325.0,321,4.0,0,4501,T2,5.0
40341,FL,F,902,410,461.0,4,15332,13,28,413.0,460,10.0,2,2401,S2,15.0
